Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Category,Outlet_Age
FDH35,18,Low Fat,0.10084386,Starchy Foods,166,OUT010,1998,Medium,Tier 3,Grocery Store,164,Food,27
FDS50,17,Low Fat,0.055519561,Dairy,219,OUT049,1999,Medium,Tier 1,Supermarket Type1,1108,Food,26
FDT09,12,Regular,0.012203915,Snack Foods,133,OUT027,1985,Medium,Tier 3,Supermarket Type3,4350,Food,40
FDR60,14,Low Fat,0.130946374,Baking Goods,76,OUT018,2009,Medium,Tier 3,Supermarket Type2,1312,Food,16
FDG22,17,Regular,0.041381156,Snack Foods,35,OUT046,1997,Small,Tier 1,Supermarket Type1,659,Food,28
FDL52,12,Regular,0.04586701,Frozen Foods,37,OUT027,1985,Medium,Tier 3,Supermarket Type3,910,Food,40
DRJ39,20,Low Fat,0.036474041,Dairy,218,OUT018,2009,Medium,Tier 3,Supermarket Type2,2409,Drinks,16
FDW45,18,Low Fat,0.039231652,Snack Foods,145,OUT017,2007,Medium,Tier 2,Supermarket Type1,2648,Food,18
NCQ38,16,Low Fat,0.013393537,Others,106,OUT045,2002,Medium,Tier 2,Supermarket Type1,1065,Non-Consumable,23
FDB26,14,Regular,0.031444357,Canned,53,OUT017,2007,Medium,Tier 2,Supermarket Type1,798,Food,18
DRG48,5,Low Fat,0.014555066,Soft Drinks,145,OUT046,1997,Small,Tier 1,Supermarket Type1,3062,Drinks,28
FDH10,21,Low Fat,0.082526478,Snack Foods,191,OUT010,1998,Medium,Tier 3,Grocery Store,774,Food,27
FDP28,13,Regular,0.080765853,Frozen Foods,262,OUT049,1999,Medium,Tier 1,Supermarket Type1,4958,Food,26
FDJ44,12,Regular,0.17797002,Fruits and Vegetables,173,OUT010,1998,Medium,Tier 3,Grocery Store,697,Food,27
FDI07,12,Regular,0.03382933,Meat,196,OUT045,2002,Medium,Tier 2,Supermarket Type1,2768,Food,23
DRJ24,11,Low Fat,0.11397026,Soft Drinks,185,OUT017,2007,Medium,Tier 2,Supermarket Type1,2591,Drinks,18
DRL47,19,Low Fat,0.038729457,Hard Drinks,127,OUT035,2004,Small,Tier 2,Supermarket Type1,755,Drinks,21
FDP38,10,Low Fat,0.032075379,Canned,50,OUT013,1987,High,Tier 3,Supermarket Type1,354,Food,38
FDK02,12,Low Fat,0.196490902,Canned,120,OUT019,1985,Small,Tier 1,Grocery Store,479,Food,40
FDO23,17,Low Fat,0.146305498,Breads,94,OUT013,1987,High,Tier 3,Supermarket Type1,1607,Food,38
NCE54,20,Low Fat,0.026877471,Household,74,OUT013,1987,High,Tier 3,Supermarket Type1,1053,Non-Consumable,38
FDS52,8,Low Fat,0.005474515,Frozen Foods,99,OUT046,1997,Small,Tier 1,Supermarket Type1,1922,Food,28
FDW01,14,Low Fat,0.064048405,Canned,153,OUT035,2004,Small,Tier 2,Supermarket Type1,1677,Food,21
NCF07,9,Low Fat,0.032203667,Household,100,OUT017,2007,Medium,Tier 2,Supermarket Type1,1113,Non-Consumable,18
DRE15,13,Low Fat,0.017857847,Dairy,77,OUT018,2009,Medium,Tier 3,Supermarket Type2,1518,Drinks,16
FDR58,6,Low Fat,0.041921462,Snack Foods,92,OUT046,1997,Small,Tier 1,Supermarket Type1,2406,Food,28
FDL24,10,Regular,0.024875871,Baking Goods,173,OUT013,1987,High,Tier 3,Supermarket Type1,2069,Food,38
FDQ25,12,Regular,0.028139761,Canned,173,OUT027,1985,Medium,Tier 3,Supermarket Type3,3621,Food,40
FDX56,17,Regular,0.073997843,Fruits and Vegetables,207,OUT013,1987,High,Tier 3,Supermarket Type1,4969,Food,38
FDD20,14,Low Fat,0.020798905,Fruits and Vegetables,123,OUT018,2009,Medium,Tier 3,Supermarket Type2,1245,Food,16
DRF60,10,Low Fat,0.052363244,Soft Drinks,236,OUT017,2007,Medium,Tier 2,Supermarket Type1,5243,Drinks,18
FDW13,8,Low Fat,0.098283459,Canned,51,OUT018,2009,Medium,Tier 3,Supermarket Type2,934,Food,16
FDF09,6,Low Fat,0.012138795,Fruits and Vegetables,39,OUT013,1987,High,Tier 3,Supermarket Type1,521,Food,38
FDY45,17,Low Fat,0.06613202877895108,Snack Foods,253,OUT035,2004,Small,Tier 2,Supermarket Type1,4578,Food,21
FDR26,20,Low Fat,0.042923652,Dairy,178,OUT045,2002,Medium,Tier 2,Supermarket Type1,1062,Food,23
FDZ01,8,Regular,0.009058845,Canned,103,OUT046,1997,Small,Tier 1,Supermarket Type1,2579,Food,28
FDH53,20,Regular,0.032136417,Frozen Foods,83,OUT010,1998,Medium,Tier 3,Grocery Store,165,Food,27
FDG52,13,Low Fat,0.065898197,Frozen Foods,46,OUT018,2009,Medium,Tier 3,Supermarket Type2,459,Food,16
FDW50,13,Low Fat,0.075731322,Dairy,167,OUT045,2002,Medium,Tier 2,Supermarket Type1,1504,Food,23
FDX49,4,Regular,0.101812521,Canned,232,OUT035,2004,Small,Tier 2,Supermarket Type1,5126,Food,21
FDJ44,12,Regular,0.106327251,Fruits and Vegetables,172,OUT046,1997,Small,Tier 1,Supermarket Type1,2616,Food,28
NCI31,12,Low Fat,0.080933328,Others,37,OUT027,1985,Medium,Tier 3,Supermarket Type3,842,Non-Consumable,40
FDZ52,19,Low Fat,0.100055601,Frozen Foods,112,OUT035,2004,Small,Tier 2,Supermarket Type1,1223,Food,21
FDE17,20,Regular,0.054540159,Frozen Foods,152,OUT049,1999,Medium,Tier 1,Supermarket Type1,755,Food,26
FDG34,11,Regular,0.037723476,Snack Foods,109,OUT018,2009,Medium,Tier 3,Supermarket Type2,1953,Food,16
FDE26,9,Low Fat,0.14897741,Canned,143,OUT010,1998,Medium,Tier 3,Grocery Store,288,Food,27
FDD56,15,Regular,0.104201019,Fruits and Vegetables,176,OUT018,2009,Medium,Tier 3,Supermarket Type2,2976,Food,16
FDR52,12,Regular,0.076198809,Frozen Foods,191,OUT045,2002,Medium,Tier 2,Supermarket Type1,2675,Food,23
FDQ13,11,Low Fat,0.010639596,Canned,84,OUT035,2004,Small,Tier 2,Supermarket Type1,755,Food,21
NCJ42,12,Low Fat,0.025039776,Household,102,OUT019,1985,Small,Tier 1,Grocery Store,410,Non-Consumable,40
FDH10,12,Low Fat,0.086326707,Snack Foods,192,OUT019,1985,Small,Tier 1,Grocery Store,387,Food,40
NCG42,19,Low Fat,0.041220035,Household,131,OUT035,2004,Small,Tier 2,Supermarket Type1,3635,Non-Consumable,21
FDT31,19,Low Fat,0.01247354,Fruits and Vegetables,187,OUT045,2002,Medium,Tier 2,Supermarket Type1,1323,Food,23
DRD25,6,Low Fat,0.079132212,Soft Drinks,112,OUT045,2002,Medium,Tier 2,Supermarket Type1,2942,Drinks,23
FDR35,12,Low Fat,0.020693809,Breads,199,OUT035,2004,Small,Tier 2,Supermarket Type1,4379,Food,21
FDL33,7,Low Fat,0.10016525,Snack Foods,193,OUT045,2002,Medium,Tier 2,Supermarket Type1,2936,Food,23
FDT45,15,Low Fat,0.057302606,Snack Foods,53,OUT035,2004,Small,Tier 2,Supermarket Type1,600,Food,21
FDT16,9,Regular,0.048761046,Frozen Foods,260,OUT045,2002,Medium,Tier 2,Supermarket Type1,8851,Food,23
DRE49,20,Low Fat,0.06613202877895108,Soft Drinks,153,OUT035,2004,Small,Tier 2,Supermarket Type1,2428,Drinks,21
DRF60,10,Low Fat,0.052149675,Soft Drinks,239,OUT049,1999,Medium,Tier 1,Supermarket Type1,3813,Drinks,26
NCB54,8,Low Fat,0.050130529,Health and Hygiene,128,OUT049,1999,Medium,Tier 1,Supermarket Type1,2556,Non-Consumable,26
FDH20,16,Regular,0.024987903,Fruits and Vegetables,97,OUT049,1999,Medium,Tier 1,Supermarket Type1,1255,Food,26
FDA31,7,Low Fat,0.109990885,Fruits and Vegetables,172,OUT035,2004,Small,Tier 2,Supermarket Type1,2769,Food,21
FDE33,19,Regular,0.049736267,Fruits and Vegetables,76,OUT045,2002,Medium,Tier 2,Supermarket Type1,1571,Food,23
FDM12,16,Regular,0.117026714,Baking Goods,189,OUT010,1998,Medium,Tier 3,Grocery Store,188,Food,27
FDW44,9,Regular,0.035121963,Fruits and Vegetables,168,OUT013,1987,High,Tier 3,Supermarket Type1,1022,Food,38
DRE48,8,Low Fat,0.017311312,Soft Drinks,197,OUT013,1987,High,Tier 3,Supermarket Type1,3744,Drinks,38
NCX18,14,Low Fat,0.008811818,Household,196,OUT045,2002,Medium,Tier 2,Supermarket Type1,2749,Non-Consumable,23
FDA38,5,Low Fat,0.025583714,Dairy,239,OUT018,2009,Medium,Tier 3,Supermarket Type2,480,Food,16
FDQ19,7,Regular,0.014353174,Fruits and Vegetables,242,OUT013,1987,High,Tier 3,Supermarket Type1,969,Food,38
FDY47,12,Regular,0.054220618,Breads,129,OUT027,1985,Medium,Tier 3,Supermarket Type3,4933,Food,40
FDE17,20,Regular,0.054410179,Frozen Foods,151,OUT013,1987,High,Tier 3,Supermarket Type1,2720,Food,38
FDY25,12,Low Fat,0.033974436,Canned,181,OUT046,1997,Small,Tier 1,Supermarket Type1,4527,Food,28
FDT03,21,Low Fat,0.009996872,Meat,185,OUT035,2004,Small,Tier 2,Supermarket Type1,3123,Food,21
FDB49,8,Regular,0.030212499,Baking Goods,98,OUT045,2002,Medium,Tier 2,Supermarket Type1,2857,Food,23
FDL43,10,Low Fat,0.027217468,Meat,76,OUT017,2007,Medium,Tier 2,Supermarket Type1,1454,Food,18
FDE47,14,Low Fat,0.038123176,Starchy Foods,123,OUT017,2007,Medium,Tier 2,Supermarket Type1,1992,Food,18
FDS49,9,Low Fat,0.079506434,Canned,78,OUT045,2002,Medium,Tier 2,Supermarket Type1,1728,Food,23
FDU23,12,Low Fat,0.021811987,Breads,163,OUT018,2009,Medium,Tier 3,Supermarket Type2,2311,Food,16
FDU38,12,Low Fat,0.082150145,Dairy,192,OUT027,1985,Medium,Tier 3,Supermarket Type3,7478,Food,40
FDV09,12,Low Fat,0.036012919,Snack Foods,148,OUT019,1985,Small,Tier 1,Grocery Store,593,Food,40
FDR20,20,Regular,0.028167478,Fruits and Vegetables,45,OUT049,1999,Medium,Tier 1,Supermarket Type1,452,Food,26
FDY11,6,Regular,0.029560451,Baking Goods,65,OUT046,1997,Small,Tier 1,Supermarket Type1,856,Food,28
FDG40,12,Low Fat,0.039631495,Frozen Foods,31,OUT027,1985,Medium,Tier 3,Supermarket Type3,984,Food,40
FDX20,7,Low Fat,0.04280099,Fruits and Vegetables,228,OUT017,2007,Medium,Tier 2,Supermarket Type1,2037,Food,18
FDZ27,7,Low Fat,0.017141985,Dairy,50,OUT013,1987,High,Tier 3,Supermarket Type1,149,Food,38
FDH09,12,Low Fat,0.056394771,Seafood,51,OUT017,2007,Medium,Tier 2,Supermarket Type1,473,Food,18
FDG29,17,Low Fat,0.056379439,Frozen Foods,42,OUT049,1999,Medium,Tier 1,Supermarket Type1,293,Food,26
NCA30,19,Low Fat,0.129534812,Household,190,OUT049,1999,Medium,Tier 1,Supermarket Type1,5105,Non-Consumable,26
NCL53,7,Low Fat,0.036439878,Health and Hygiene,175,OUT017,2007,Medium,Tier 2,Supermarket Type1,3010,Non-Consumable,18
DRE15,13,Low Fat,0.06613202877895108,Dairy,77,OUT046,1997,Small,Tier 1,Supermarket Type1,986,Drinks,28
NCS38,8,Low Fat,0.090191431,Household,112,OUT046,1997,Small,Tier 1,Supermarket Type1,458,Non-Consumable,28
FDY21,12,Low Fat,0.30374337,Snack Foods,196,OUT019,1985,Small,Tier 1,Grocery Store,589,Food,40
FDB58,10,Regular,0.022590318,Snack Foods,140,OUT010,1998,Medium,Tier 3,Grocery Store,283,Food,27
FDH41,9,Low Fat,0.082011521,Frozen Foods,213,OUT046,1997,Small,Tier 1,Supermarket Type1,1935,Food,28
DRF23,4,Low Fat,0.122843005,Hard Drinks,172,OUT049,1999,Medium,Tier 1,Supermarket Type1,1569,Drinks,26
FDE05,10,Regular,0.05432142,Frozen Foods,146,OUT010,1998,Medium,Tier 3,Grocery Store,437,Food,27
FDY10,17,Low Fat,0.049144165,Snack Foods,112,OUT049,1999,Medium,Tier 1,Supermarket Type1,1717,Food,26
FDS43,11,Low Fat,0.040577878,Fruits and Vegetables,188,OUT049,1999,Medium,Tier 1,Supermarket Type1,1304,Food,26
NCM30,19,Low Fat,0.067400032,Household,41,OUT049,1999,Medium,Tier 1,Supermarket Type1,784,Non-Consumable,26
FDY49,17,Regular,0.012036432,Canned,165,OUT045,2002,Medium,Tier 2,Supermarket Type1,1816,Food,23
FDN02,16,Low Fat,0.073977473,Canned,206,OUT045,2002,Medium,Tier 2,Supermarket Type1,2070,Food,23
FDP37,15,Low Fat,0.143396175,Breakfast,128,OUT045,2002,Medium,Tier 2,Supermarket Type1,2184,Food,23
NCF07,9,Low Fat,0.03201648,Household,99,OUT035,2004,Small,Tier 2,Supermarket Type1,1922,Non-Consumable,21
FDJ09,15,Low Fat,0.058346234,Snack Foods,44,OUT013,1987,High,Tier 3,Supermarket Type1,633,Food,38
FDO23,12,Low Fat,0.14571827,Breads,94,OUT027,1985,Medium,Tier 3,Supermarket Type3,2269,Food,40
FDH09,12,Low Fat,0.055806016,Seafood,52,OUT027,1985,Medium,Tier 3,Supermarket Type3,1209,Food,40
FDX34,6,Low Fat,0.072097449,Snack Foods,119,OUT049,1999,Medium,Tier 1,Supermarket Type1,1205,Food,26
FDV60,20,Regular,0.117543713,Baking Goods,197,OUT049,1999,Medium,Tier 1,Supermarket Type1,3338,Food,26
FDE32,20,Low Fat,0.048718334,Fruits and Vegetables,38,OUT013,1987,High,Tier 3,Supermarket Type1,227,Food,38
NCI30,20,Low Fat,0.0591756,Household,245,OUT018,2009,Medium,Tier 3,Supermarket Type2,4680,Non-Consumable,16
FDS37,7,Low Fat,0.031918284,Canned,117,OUT013,1987,High,Tier 3,Supermarket Type1,695,Food,38
FDC57,12,Regular,0.095587976,Fruits and Vegetables,193,OUT019,1985,Small,Tier 1,Grocery Store,579,Food,40
DRC01,5,Regular,0.019308607,Soft Drinks,49,OUT017,2007,Medium,Tier 2,Supermarket Type1,1478,Drinks,18
DRD27,18,Low Fat,0.023974769,Dairy,99,OUT017,2007,Medium,Tier 2,Supermarket Type1,694,Drinks,18
FDI12,9,Regular,0.100602552,Baking Goods,88,OUT045,2002,Medium,Tier 2,Supermarket Type1,703,Food,23
FDQ33,13,Low Fat,0.091189915,Snack Foods,149,OUT035,2004,Small,Tier 2,Supermarket Type1,4514,Food,21
FDQ27,12,Regular,0.077480627,Meat,101,OUT019,1985,Small,Tier 1,Grocery Store,206,Food,40
NCB07,19,Low Fat,0.129731747,Household,196,OUT010,1998,Medium,Tier 3,Grocery Store,589,Non-Consumable,27
FDC08,19,Regular,0.103363904,Fruits and Vegetables,226,OUT013,1987,High,Tier 3,Supermarket Type1,3169,Food,38
FDD20,14,Low Fat,0.020714523,Fruits and Vegetables,124,OUT046,1997,Small,Tier 1,Supermarket Type1,2490,Food,28
FDS24,20,Regular,0.062212713,Baking Goods,88,OUT035,2004,Small,Tier 2,Supermarket Type1,1151,Food,21
FDH34,8,Low Fat,0.031271134,Snack Foods,186,OUT017,2007,Medium,Tier 2,Supermarket Type1,3900,Food,18
NCX30,16,Low Fat,0.026729068,Household,248,OUT018,2009,Medium,Tier 3,Supermarket Type2,6439,Non-Consumable,16
FDM01,7,Regular,0.094567181,Breakfast,104,OUT046,1997,Small,Tier 1,Supermarket Type1,1845,Food,28
FDB20,7,Low Fat,0.05193741,Fruits and Vegetables,77,OUT013,1987,High,Tier 3,Supermarket Type1,934,Food,38
NCK29,5,Low Fat,0.126480422,Health and Hygiene,121,OUT017,2007,Medium,Tier 2,Supermarket Type1,3202,Non-Consumable,18
FDS11,7,Regular,0.055644887,Breads,224,OUT049,1999,Medium,Tier 1,Supermarket Type1,2684,Food,26
NCV41,14,Low Fat,0.028519419,Health and Hygiene,109,OUT010,1998,Medium,Tier 3,Grocery Store,221,Non-Consumable,27
DRL60,8,Low Fat,0.027101431,Soft Drinks,151,OUT049,1999,Medium,Tier 1,Supermarket Type1,2439,Drinks,26
FDV10,7,Regular,0.067083367,Snack Foods,44,OUT017,2007,Medium,Tier 2,Supermarket Type1,596,Food,18
FDV09,12,Low Fat,0.020652362,Snack Foods,149,OUT018,2009,Medium,Tier 3,Supermarket Type2,2227,Food,16
FDQ39,14,Low Fat,0.081042136,Meat,192,OUT046,1997,Small,Tier 1,Supermarket Type1,5159,Food,28
DRE49,20,Low Fat,0.021336565,Soft Drinks,153,OUT018,2009,Medium,Tier 3,Supermarket Type2,1366,Drinks,16
FDR45,10,Low Fat,0.029001987,Snack Foods,238,OUT045,2002,Medium,Tier 2,Supermarket Type1,8604,Food,23
DRJ23,18,Low Fat,0.069745165,Hard Drinks,190,OUT010,1998,Medium,Tier 3,Grocery Store,378,Drinks,27
FDQ26,13,Regular,0.068148886,Dairy,58,OUT018,2009,Medium,Tier 3,Supermarket Type2,711,Food,16
NCA06,20,Low Fat,0.144094079,Household,34,OUT017,2007,Medium,Tier 2,Supermarket Type1,1061,Non-Consumable,18
FDT24,12,Regular,0.186616421,Baking Goods,78,OUT018,2009,Medium,Tier 3,Supermarket Type2,1004,Food,16
DRG27,8,Low Fat,0.105323859,Dairy,39,OUT045,2002,Medium,Tier 2,Supermarket Type1,609,Drinks,23
FDR02,16,Low Fat,0.022110425,Dairy,110,OUT045,2002,Medium,Tier 2,Supermarket Type1,3558,Food,23
DRG37,16,Low Fat,0.019374768,Soft Drinks,155,OUT035,2004,Small,Tier 2,Supermarket Type1,2025,Drinks,21
FDJ07,7,Low Fat,0.014482278,Meat,118,OUT018,2009,Medium,Tier 3,Supermarket Type2,1864,Food,16
FDP32,6,Low Fat,0.087805788,Fruits and Vegetables,126,OUT049,1999,Medium,Tier 1,Supermarket Type1,1907,Food,26
FDV59,13,Low Fat,0.048027043,Breads,218,OUT046,1997,Small,Tier 1,Supermarket Type1,5660,Food,28
FDP60,17,Low Fat,0.055908268,Baking Goods,99,OUT035,2004,Small,Tier 2,Supermarket Type1,607,Food,21
FDE32,12,Low Fat,0.048522793,Fruits and Vegetables,39,OUT027,1985,Medium,Tier 3,Supermarket Type3,1024,Food,40
FDK26,5,Regular,0.032359413,Canned,187,OUT017,2007,Medium,Tier 2,Supermarket Type1,3169,Food,18
FDW28,18,Low Fat,0.088807455,Frozen Foods,197,OUT035,2004,Small,Tier 2,Supermarket Type1,2740,Food,21
FDP56,8,Low Fat,0.046556408,Fruits and Vegetables,47,OUT049,1999,Medium,Tier 1,Supermarket Type1,640,Food,26
FDT25,7,Low Fat,0.050750977,Canned,122,OUT046,1997,Small,Tier 1,Supermarket Type1,1960,Food,28
FDQ12,12,Low Fat,0.035404052,Baking Goods,230,OUT035,2004,Small,Tier 2,Supermarket Type1,2067,Food,21
FDR60,14,Low Fat,0.130390458,Baking Goods,77,OUT035,2004,Small,Tier 2,Supermarket Type1,231,Food,21
FDZ10,17,Low Fat,0.074422769,Snack Foods,128,OUT010,1998,Medium,Tier 3,Grocery Store,253,Food,27
FDM13,6,Low Fat,0.105742544,Breakfast,130,OUT010,1998,Medium,Tier 3,Grocery Store,131,Food,27
FDF26,6,Regular,0.046729336,Canned,153,OUT045,2002,Medium,Tier 2,Supermarket Type1,2153,Food,23
FDN02,12,Low Fat,0.073470234,Canned,205,OUT027,1985,Medium,Tier 3,Supermarket Type3,5383,Food,40
NCI30,20,Low Fat,0.058886477,Household,245,OUT013,1987,High,Tier 3,Supermarket Type1,1724,Non-Consumable,38
NCJ31,19,Low Fat,0.18293775,Others,243,OUT049,1999,Medium,Tier 1,Supermarket Type1,3615,Non-Consumable,26
NCQ54,17,Low Fat,0.020993364,Household,166,OUT010,1998,Medium,Tier 3,Grocery Store,168,Non-Consumable,27
FDB02,9,Regular,0.029223424,Canned,175,OUT045,2002,Medium,Tier 2,Supermarket Type1,2999,Food,23
FDC02,12,Low Fat,0.068489201,Canned,259,OUT027,1985,Medium,Tier 3,Supermarket Type3,4165,Food,40
FDA11,7,Low Fat,0.043326511,Baking Goods,95,OUT045,2002,Medium,Tier 2,Supermarket Type1,1134,Food,23
DRI23,12,Low Fat,0.136532569,Hard Drinks,159,OUT027,1985,Medium,Tier 3,Supermarket Type3,2888,Drinks,40
FDE04,19,Regular,0.018051091,Frozen Foods,179,OUT049,1999,Medium,Tier 1,Supermarket Type1,2696,Food,26
FDW38,5,Regular,0.23212188,Dairy,55,OUT010,1998,Medium,Tier 3,Grocery Store,53,Food,27
FDG46,12,Regular,0.057620562,Snack Foods,115,OUT019,1985,Small,Tier 1,Grocery Store,113,Food,40
NCJ05,12,Low Fat,0.045865089,Health and Hygiene,152,OUT027,1985,Medium,Tier 3,Supermarket Type3,2287,Non-Consumable,40
FDU01,12,Regular,0.021002171,Canned,185,OUT019,1985,Small,Tier 1,Grocery Store,555,Food,40
FDY11,6,Regular,0.029727657,Baking Goods,66,OUT017,2007,Medium,Tier 2,Supermarket Type1,1120,Food,18
FDX60,14,Low Fat,0.080527065,Baking Goods,79,OUT013,1987,High,Tier 3,Supermarket Type1,719,Food,38
NCN29,15,Low Fat,0.06613202877895108,Health and Hygiene,47,OUT049,1999,Medium,Tier 1,Supermarket Type1,437,Non-Consumable,26
FDT07,5,Regular,0.06613202877895108,Fruits and Vegetables,256,OUT049,1999,Medium,Tier 1,Supermarket Type1,2050,Food,26
FDI21,5,Regular,0.056833394,Snack Foods,61,OUT018,2009,Medium,Tier 3,Supermarket Type2,1214,Food,16
FDI41,18,Regular,0.062256921,Frozen Foods,148,OUT046,1997,Small,Tier 1,Supermarket Type1,2059,Food,28
FDE10,12,Regular,0.089512542,Snack Foods,133,OUT027,1985,Medium,Tier 3,Supermarket Type3,3672,Food,40
FDQ28,14,Regular,0.060427062,Frozen Foods,153,OUT046,1997,Small,Tier 1,Supermarket Type1,3089,Food,28
FDY32,7,Low Fat,0.216323008,Fruits and Vegetables,165,OUT010,1998,Medium,Tier 3,Grocery Store,815,Food,27
NCK05,12,Low Fat,0.135612397,Health and Hygiene,61,OUT019,1985,Small,Tier 1,Grocery Store,61,Non-Consumable,40
FDH12,9,Low Fat,0.085125951,Baking Goods,107,OUT045,2002,Medium,Tier 2,Supermarket Type1,1278,Food,23
FDJ27,17,Regular,0.122565413,Meat,103,OUT017,2007,Medium,Tier 2,Supermarket Type1,1528,Food,18
DRL35,15,Low Fat,0.06613202877895108,Hard Drinks,43,OUT010,1998,Medium,Tier 3,Grocery Store,129,Drinks,27
NCY29,13,Low Fat,0.077670981,Health and Hygiene,55,OUT017,2007,Medium,Tier 2,Supermarket Type1,1301,Non-Consumable,18
FDC21,14,Regular,0.043201813,Fruits and Vegetables,110,OUT017,2007,Medium,Tier 2,Supermarket Type1,1844,Food,18
FDM33,15,Low Fat,0.088215871,Snack Foods,220,OUT017,2007,Medium,Tier 2,Supermarket Type1,5068,Food,18
DRJ39,20,Low Fat,0.036295834,Dairy,217,OUT013,1987,High,Tier 3,Supermarket Type1,1095,Drinks,38
FDB22,8,Low Fat,0.186528819,Snack Foods,151,OUT010,1998,Medium,Tier 3,Grocery Store,307,Food,27
FDC32,18,Low Fat,0.099026525,Fruits and Vegetables,93,OUT013,1987,High,Tier 3,Supermarket Type1,1295,Food,38
FDD02,16,Low Fat,0.06613202877895108,Canned,118,OUT046,1997,Small,Tier 1,Supermarket Type1,2607,Food,28
FDL28,10,Regular,0.063162608,Frozen Foods,228,OUT035,2004,Small,Tier 2,Supermarket Type1,3455,Food,21
FDL39,16,Regular,0.063429818,Dairy,179,OUT049,1999,Medium,Tier 1,Supermarket Type1,2345,Food,26
FDV37,13,Regular,0.139785104,Canned,196,OUT010,1998,Medium,Tier 3,Grocery Store,197,Food,27
FDA28,16,Regular,0.04807227,Frozen Foods,126,OUT017,2007,Medium,Tier 2,Supermarket Type1,1761,Food,18
FDL04,19,Low Fat,0.112097433,Frozen Foods,105,OUT049,1999,Medium,Tier 1,Supermarket Type1,1905,Food,26
FDR10,17,Low Fat,0.010037996,Snack Foods,163,OUT035,2004,Small,Tier 2,Supermarket Type1,3086,Food,21
FDA39,6,Low Fat,0.012789884,Meat,39,OUT017,2007,Medium,Tier 2,Supermarket Type1,1060,Food,18
FDR15,9,Regular,0.033431669,Meat,153,OUT035,2004,Small,Tier 2,Supermarket Type1,4653,Food,21
FDQ40,11,Regular,0.03623131,Frozen Foods,175,OUT017,2007,Medium,Tier 2,Supermarket Type1,3339,Food,18
DRG23,12,Low Fat,0.086360962,Hard Drinks,151,OUT027,1985,Medium,Tier 3,Supermarket Type3,2439,Drinks,40
FDU36,6,Low Fat,0.046232445,Baking Goods,99,OUT013,1987,High,Tier 3,Supermarket Type1,1379,Food,38
FDF47,20,Low Fat,0.097618234,Starchy Foods,223,OUT046,1997,Small,Tier 1,Supermarket Type1,897,Food,28
FDH14,17,Regular,0.046808553,Canned,141,OUT046,1997,Small,Tier 1,Supermarket Type1,1404,Food,28
FDO45,13,Regular,0.03810738,Snack Foods,86,OUT018,2009,Medium,Tier 3,Supermarket Type2,615,Food,16
FDK60,16,Regular,0.093846532,Baking Goods,95,OUT035,2004,Small,Tier 2,Supermarket Type1,1069,Food,21
FDS43,11,Low Fat,0.040744057,Fruits and Vegetables,185,OUT017,2007,Medium,Tier 2,Supermarket Type1,4101,Food,18
FDN44,13,Low Fat,0.022831052,Fruits and Vegetables,160,OUT049,1999,Medium,Tier 1,Supermarket Type1,4793,Food,26
FDS34,19,Regular,0.076878416,Snack Foods,113,OUT049,1999,Medium,Tier 1,Supermarket Type1,1138,Food,26
FDU20,19,Regular,0.021501067,Fruits and Vegetables,122,OUT045,2002,Medium,Tier 2,Supermarket Type1,2771,Food,23
FDP44,16,Regular,0.07964724,Fruits and Vegetables,101,OUT013,1987,High,Tier 3,Supermarket Type1,1948,Food,38
FDC02,21,Low Fat,0.068809463,Canned,258,OUT035,2004,Small,Tier 2,Supermarket Type1,5206,Food,21
FDT56,16,Regular,0.115570552,Fruits and Vegetables,57,OUT035,2004,Small,Tier 2,Supermarket Type1,173,Food,21
NCA06,20,Low Fat,0.143164371,Household,34,OUT013,1987,High,Tier 3,Supermarket Type1,73,Non-Consumable,38
FDE04,19,Regular,0.018008071,Frozen Foods,180,OUT013,1987,High,Tier 3,Supermarket Type1,3415,Food,38
NCX06,17,Low Fat,0.015775777,Household,179,OUT017,2007,Medium,Tier 2,Supermarket Type1,3803,Non-Consumable,18
FDX49,4,Regular,0.102407778,Canned,234,OUT017,2007,Medium,Tier 2,Supermarket Type1,3961,Food,18
DRM59,5,Low Fat,0.003606726,Hard Drinks,154,OUT018,2009,Medium,Tier 3,Supermarket Type2,1384,Drinks,16
FDJ34,11,Regular,0.093801337,Snack Foods,126,OUT049,1999,Medium,Tier 1,Supermarket Type1,1251,Food,26
FDP60,17,Low Fat,0.06613202877895108,Baking Goods,101,OUT013,1987,High,Tier 3,Supermarket Type1,1821,Food,38
FDI07,12,Regular,0.033760862,Meat,196,OUT046,1997,Small,Tier 1,Supermarket Type1,5141,Food,28
FDV07,12,Low Fat,0.031131455,Fruits and Vegetables,111,OUT027,1985,Medium,Tier 3,Supermarket Type3,3205,Food,40
FDH41,9,Low Fat,0.082177842,Frozen Foods,214,OUT045,2002,Medium,Tier 2,Supermarket Type1,1720,Food,23
NCB31,6,Low Fat,0.118858866,Household,263,OUT049,1999,Medium,Tier 1,Supermarket Type1,3418,Non-Consumable,26
FDW34,9,Low Fat,0.06613202877895108,Snack Foods,244,OUT035,2004,Small,Tier 2,Supermarket Type1,4374,Food,21
